STATISTIC,Statistic Label,TLIST(W1),Week,C03955V04713,Nationality,UNIT,VALUE
UA07C01,PPSN registrations of arrivals from Ukraine,2022W25,26/06/2022,-,All nationalities,Number,40317
UA07C01,PPSN registrations of arrivals from Ukraine,2022W25,26/06/2022,U3,Other nationalities with protected status,Number,869
UA07C01,PPSN registrations of arrivals from Ukraine,2022W25,26/06/2022,UA,Ukrainian,Number,39448
UA07C01,PPSN registrations of arrivals from Ukraine,2022W26,03/07/2022,-,All nationalities,Number,41852
UA07C01,PPSN registrations of arrivals from Ukraine,2022W26,03/07/2022,U3,Other nationalities with protected status,Number,889
UA07C01,PPSN registrations of arrivals from Ukraine,2022W26,03/07/2022,UA,Ukrainian,Number,40963
UA07C01,PPSN registrations of arrivals from Ukraine,2022W27,10/07/2022,-,All nationalities,Number,43289
UA07C01,PPSN registrations of arrivals from Ukraine,2022W27,10/07/2022,U3,Other nationalities with protected status,Number,897
UA07C01,PPSN registrations of arrivals from Ukraine,2022W27,10/07/2022,UA,Ukrainian,Number,42392
UA07C01,PPSN registrations of arrivals from Ukraine,2022W28,17/07/2022,-,All nationalities,Number,44688
UA07C01,PPSN registrations of arrivals from Ukraine,2022W28,17/07/2022,U3,Other nationalities with protected status,Number,905
UA07C01,PPSN registrations of arrivals from Ukraine,2022W28,17/07/2022,UA,Ukrainian,Number,43783
UA07C01,PPSN registrations of arrivals from Ukraine,2022W29,24/07/2022,-,All nationalities,Number,45844
UA07C01,PPSN registrations of arrivals from Ukraine,2022W29,24/07/2022,U3,Other nationalities with protected status,Number,912
UA07C01,PPSN registrations of arrivals from Ukraine,2022W29,24/07/2022,UA,Ukrainian,Number,44932
UA07C01,PPSN registrations of arrivals from Ukraine,2022W30,31/07/2022,-,All nationalities,Number,47140
UA07C01,PPSN registrations of arrivals from Ukraine,2022W30,31/07/2022,U3,Other nationalities with protected status,Number,919
UA07C01,PPSN registrations of arrivals from Ukraine,2022W30,31/07/2022,UA,Ukrainian,Number,46221
UA07C01,PPSN registrations of arrivals from Ukraine,2022W31,07/08/2022,-,All nationalities,Number,47977
UA07C01,PPSN registrations of arrivals from Ukraine,2022W31,07/08/2022,U3,Other nationalities with protected status,Number,926
UA07C01,PPSN registrations of arrivals from Ukraine,2022W31,07/08/2022,UA,Ukrainian,Number,47051
UA07C01,PPSN registrations of arrivals from Ukraine,2022W32,14/08/2022,-,All nationalities,Number,49036
UA07C01,PPSN registrations of arrivals from Ukraine,2022W32,14/08/2022,U3,Other nationalities with protected status,Number,940
UA07C01,PPSN registrations of arrivals from Ukraine,2022W32,14/08/2022,UA,Ukrainian,Number,48096
UA07C01,PPSN registrations of arrivals from Ukraine,2022W33,21/08/2022,-,All nationalities,Number,49817
UA07C01,PPSN registrations of arrivals from Ukraine,2022W33,21/08/2022,U3,Other nationalities with protected status,Number,948
UA07C01,PPSN registrations of arrivals from Ukraine,2022W33,21/08/2022,UA,Ukrainian,Number,48869
UA07C01,PPSN registrations of arrivals from Ukraine,2022W34,28/08/2022,-,All nationalities,Number,50647
UA07C01,PPSN registrations of arrivals from Ukraine,2022W34,28/08/2022,U3,Other nationalities with protected status,Number,959
UA07C01,PPSN registrations of arrivals from Ukraine,2022W34,28/08/2022,UA,Ukrainian,Number,49688
UA07C01,PPSN registrations of arrivals from Ukraine,2022W35,04/09/2022,-,All nationalities,Number,51596
UA07C01,PPSN registrations of arrivals from Ukraine,2022W35,04/09/2022,U3,Other nationalities with protected status,Number,966
UA07C01,PPSN registrations of arrivals from Ukraine,2022W35,04/09/2022,UA,Ukrainian,Number,50630
UA07C01,PPSN registrations of arrivals from Ukraine,2022W36,11/09/2022,-,All nationalities,Number,52637
UA07C01,PPSN registrations of arrivals from Ukraine,2022W36,11/09/2022,U3,Other nationalities with protected status,Number,976
UA07C01,PPSN registrations of arrivals from Ukraine,2022W36,11/09/2022,UA,Ukrainian,Number,51661
UA07C01,PPSN registrations of arrivals from Ukraine,2022W37,18/09/2022,-,All nationalities,Number,53730
UA07C01,PPSN registrations of arrivals from Ukraine,2022W37,18/09/2022,U3,Other nationalities with protected status,Number,985
UA07C01,PPSN registrations of arrivals from Ukraine,2022W37,18/09/2022,UA,Ukrainian,Number,52745
UA07C01,PPSN registrations of arrivals from Ukraine,2022W38,25/09/2022,-,All nationalities,Number,54795
UA07C01,PPSN registrations of arrivals from Ukraine,2022W38,25/09/2022,U3,Other nationalities with protected status,Number,991
UA07C01,PPSN registrations of arrivals from Ukraine,2022W38,25/09/2022,UA,Ukrainian,Number,53804
UA07C01,PPSN registrations of arrivals from Ukraine,2022W39,02/10/2022,-,All nationalities,Number,55939
UA07C01,PPSN registrations of arrivals from Ukraine,2022W39,02/10/2022,U3,Other nationalities with protected status,Number,994
UA07C01,PPSN registrations of arrivals from Ukraine,2022W39,02/10/2022,UA,Ukrainian,Number,54945
UA07C01,PPSN registrations of arrivals from Ukraine,2022W40,09/10/2022,-,All nationalities,Number,57223
UA07C01,PPSN registrations of arrivals from Ukraine,2022W40,09/10/2022,U3,Other nationalities with protected status,Number,998
UA07C01,PPSN registrations of arrivals from Ukraine,2022W40,09/10/2022,UA,Ukrainian,Number,56225
UA07C01,PPSN registrations of arrivals from Ukraine,2022W41,16/10/2022,-,All nationalities,Number,58448
UA07C01,PPSN registrations of arrivals from Ukraine,2022W41,16/10/2022,U3,Other nationalities with protected status,Number,1011
UA07C01,PPSN registrations of arrivals from Ukraine,2022W41,16/10/2022,UA,Ukrainian,Number,57437
UA07C01,PPSN registrations of arrivals from Ukraine,2022W42,23/10/2022,-,All nationalities,Number,60049
UA07C01,PPSN registrations of arrivals from Ukraine,2022W42,23/10/2022,U3,Other nationalities with protected status,Number,1026
UA07C01,PPSN registrations of arrivals from Ukraine,2022W42,23/10/2022,UA,Ukrainian,Number,59023
UA07C01,PPSN registrations of arrivals from Ukraine,2022W43,30/10/2022,-,All nationalities,Number,61296
UA07C01,PPSN registrations of arrivals from Ukraine,2022W43,30/10/2022,U3,Other nationalities with protected status,Number,1034
UA07C01,PPSN registrations of arrivals from Ukraine,2022W43,30/10/2022,UA,Ukrainian,Number,60262
UA07C01,PPSN registrations of arrivals from Ukraine,2022W44,06/11/2022,-,All nationalities,Number,62425
UA07C01,PPSN registrations of arrivals from Ukraine,2022W44,06/11/2022,U3,Other nationalities with protected status,Number,1039
UA07C01,PPSN registrations of arrivals from Ukraine,2022W44,06/11/2022,UA,Ukrainian,Number,61386
